id,nombre,popularity,artista,pais,genero
85,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,DE,NULL
86,Daddy Issues,81,The Neighbourhood,DE,MySpotigramBot
87,Bester Sommer,0,Lina Larissa Strahl,DE,NULL
88,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",DE,NULL
89,Hate to Love (feat. Jamie T),0,"Beatsteaks, Jamie T",DE,NULL
90,Cruel Summer,84,Taylor Swift,DE,electropop
91,Cliff's Edge,0,Hayley Kiyoko,DE,american
92,Unforgettable,81,"French Montana, Swae Lee",DE,NULL
93,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,DE,NULL
94,Starboy,84,"The Weeknd, Daft Punk",DE,NULL
95,Medusa,0,Tommy,DE,NULL
96,Deutschland,71,Rammstein,DE,industrial metal
97,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,DE,NULL
98,Something Just Like This,83,"The Chainsmokers, Coldplay",DE,NULL
99,Stretch,0,Louise,DE,great quality stuff
100,All The Stars (with SZA),90,"Kendrick Lamar, SZA",CH,NULL
101,Enamorado,2,Alexander Stewart,CH,pop
102,The Night We Met,85,Lord Huron,CH,indie
103,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",CH,NULL
104,Someone You Loved,81,Lewis Capaldi,CH,2010s
105,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",CH,NULL
106,Believer,81,Imagine Dragons,CH,rock
107,Liebe Grüße (mit Fatoni),0,"Antilopen Gang, Fatoni",CH,NULL
108,lovely (with Khalid),83,"Billie Eilish, Khalid",CH,NULL
109,Matador (feat. Tommy),1,"CAPO, Tommy",CH,NULL
110,Something Just Like This,83,"The Chainsmokers, Coldplay",CH,NULL
111,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,CH,NULL
112,Where's My Love,76,SYML,CH,teen wolf
113,Дождь (feat. МакSим),1,"Geegun, MAKSIM",CH,NULL
114,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",CH,NULL
115,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,CH,NULL
116,Shape of You,83,Ed Sheeran,CH,pop
117,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,CH,NULL
118,Perfect,83,Ed Sheeran,CH,Ballad
119,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,CH,NULL
120,Est-ce que tu m'aimes ? - Pilule bleue,71,GIMS,CH,MySpotigramBot
121,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,CH,NULL
122,HIGHEST IN THE ROOM,80,Travis Scott,CH,MySpotigramBot
123,Pakete,0,Tommy,CH,NULL
124,Ransom,81,Lil Tecca,CH,2010s
125,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,CH,NULL
126,Unforgettable,81,"French Montana, Swae Lee",CH,NULL
127,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,CH,NULL
128,Cruel Summer,84,Taylor Swift,CH,electropop
129,Stretch,0,Louise,CH,great quality stuff
130,Always Remember Us This Way,79,Lady Gaga,CH,Love
131,Tabarnak,0,Volo,CH,NULL
132,Starboy,84,"The Weeknd, Daft Punk",CH,NULL
133,Sirenen,0,Tommy,CH,NULL
134,Shallow,79,"Lady Gaga, Bradley Cooper",CH,NULL
135,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",CH,NULL
136,Softcore,81,The Neighbourhood,CH,alternative
137,Skrrt,7,"K27, Einar",CH,NULL
138,Swim,83,Chase Atlantic,CH,seen live
139,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",CH,NULL
140,Lush Life,77,Zara Larsson,CH,pop
141,Killing Me,0,Black Rain,CH,NULL
142,HUMBLE.,84,Kendrick Lamar,CH,rap
143,Did You Love Me,0,Shannon & the Clams,CH,NULL
144,Thunder,80,Imagine Dragons,CH,indie pop
145,言葉のいらない約束,0,sana,CH,J-rock
146,Low Life (feat. The Weeknd),80,"Future, The Weeknd",CH,NULL
147,Cristo,0,Cromo,CH,NULL
148,goosebumps,81,Travis Scott,CH,MySpotigramBot
149,Senza farlo apposta,0,"Shade, Federica Carta",CH,NULL
150,All The Stars (with SZA),90,"Kendrick Lamar, SZA",LI,NULL
151,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",LI,NULL
152,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",LI,NULL
153,Downtown,14,"Anitta, J Balvin",LI,NULL
154,The Night We Met,85,Lord Huron,LI,indie
155,Skrrt,7,"K27, Einar",LI,NULL
156,HUMBLE.,84,Kendrick Lamar,LI,rap
157,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",LI,NULL
158,That's What I Like,84,Bruno Mars,LI,funk
159,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,LI,NULL
160,Starboy,84,"The Weeknd, Daft Punk",LI,NULL
161,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",LI,NULL
162,Cruel Summer,84,Taylor Swift,LI,electropop
163,Enamorado,2,Alexander Stewart,LI,pop
164,Swim,83,Chase Atlantic,LI,seen live
165,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",LI,NULL
166,Something Just Like This,83,"The Chainsmokers, Coldplay",LI,NULL
167,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LI,NULL
168,Perfect,83,Ed Sheeran,LI,Ballad
