id;nombre_cancion;popularity;artista;pais;genero;Rango_lustros
858;Headlock;83;Imogen Heap;HR;electronic;2005-2009
859;Odio;1;Revolver;HR;spanish;2005-2009
860;Viva La Vida;82;Coldplay;HR;Coldplay;2005-2009
861;Save Me;1;Morandi, Helene;HR;NULL;2005-2009
862;Romale Romali;45;Ana Nikolić;HR;favorites;2005-2009
863;Historia universal (El amor no es lo que piensas);0;DELUXE;HR;indie;2005-2009
864;Heartless;80;Kanye West;HR;Kanye West;2005-2009
865;Coming Home;0;Sasha;HR;pop;2005-2009
866;Poker Face;79;Lady Gaga;HR;pop;2005-2009
867;Esqueça Que Eu Te Amo - Ao Vivo;0;Edson & Hudson;HR;NULL;2005-2009
868;Iza Devet Sela;38;Nenad Ninčevič;HR;NULL;2005-2009
869;Colillas en el sueño;0;DELUXE;HR;NULL;2005-2009
870;Usne boje vina;45;Boban Rajovic;HR;narodna muzika;2005-2009
871;Goodbye;0;Sasha;HR;pop;2005-2009
872;Sude Mi;39;Miroslav Škoro;HR;croatian;2005-2009
873;Stars of CCTV - Live at the Astoria;0;Hard-Fi;HR;NULL;2005-2009
874;Dvi Sestre Blizanke (feat. Prva Liga);38;Dalmatino, Prva Liga;HR;NULL;2005-2009
875;Tendremos que esperar;0;DELUXE;HR;spanish pop;2005-2009
876;Tvoje Oci;45;Goga Sekulić, Osman Hadzic;HR;NULL;2005-2009
877;Mi rendición;0;Revolver;HR;Rock en Espanol;2005-2009
878;Tako Mlada;44;Tanja Savic;HR;pop;2005-2009
879;J'étais comme eux;0;Demon One;HR;NULL;2005-2009
880;Feel Good Inc.;82;Gorillaz;HR;alternative;2005-2009
881;Si es tan solo amor;0;Revolver;HR;blues guitar;2005-2009
882;Aspirin;46;Seka Aleksić;HR;pop;2005-2009
883;Tá No Meu Coração - Ao Vivo;0;Edson & Hudson;HR;NULL;2005-2009
884;Da Se Nađemo Na Pola Puta;42;Neda Ukraden;HR;NULL;2005-2009
885;Start Of Something New;0;Troy, Vanessa Hudgens;HR;NULL;2005-2009
886;Don't Stop The Music;78;Rihanna;HR;dance;2005-2009
887;No va más;0;Revolver;HR;rich spanish pop;2005-2009
888;Gacice;43;Goga Sekulić;HR;NULL;2005-2009
889;Slowly;0;Sasha;HR;pop;2005-2009
890;Just Dance;77;Lady Gaga, Colby O'Donis;HR;NULL;2005-2009
891;Soulcrusher;0;Operator;HR;Grunge;2005-2009
892;Neću Izdat Ja;36;Nenad Ninčevič;HR;NULL;2005-2009
893;Womanizer (Director's Cut);0;Britney Spears;HR;my dance room;2005-2009
894;Flashing Lights;80;Kanye West, Dwele;HR;NULL;2005-2009
895;Disco Eterno - Gira Me Verás Volver;0;Soda Stereo;HR;NULL;2005-2009
896;Boze Brani Je Od Zla;42;Toše Proeski;HR;sexy;2005-2009
897;B.Y.O.B.;0;System Of A Down;HR;alternative metal;2005-2009
898;Sto puta;41;Zdravko Čolić;HR;NULL;2005-2009
899;Nothing to Lose;0;Operator;HR;rock;2005-2009
900;Headlock;83;Imogen Heap;BA;electronic;2005-2009
901;Tu Vuoi Da Me Qualcosa - Live;1;Vasco Rossi;BA;NULL;2005-2009
902;Viva La Vida;82;Coldplay;BA;Coldplay;2005-2009
903;Odio;1;Revolver;BA;spanish;2005-2009
904;Feel Good Inc.;82;Gorillaz;BA;alternative;2005-2009
905;Save Me;1;Morandi, Helene;BA;NULL;2005-2009
906;505;81;Arctic Monkeys;BA;indie rock;2005-2009
907;Historia universal (El amor no es lo que piensas);0;DELUXE;BA;indie;2005-2009
908;Breakin' Dishes;81;Rihanna;BA;rnb;2005-2009
909;Get Around Town;0;Revolver;BA;rock;2005-2009
910;Fix You;81;Coldplay;BA;Coldplay;2005-2009
911;Coming Home;0;Sasha;BA;pop;2005-2009
912;Hips Don't Lie (feat. Wyclef Jean);80;Shakira, Wyclef Jean;BA;NULL;2005-2009
913;Esqueça Que Eu Te Amo - Ao Vivo;0;Edson & Hudson;BA;NULL;2005-2009
914;Flashing Lights;80;Kanye West, Dwele;BA;NULL;2005-2009
915;Colillas en el sueño;0;DELUXE;BA;NULL;2005-2009
916;Promiscuous;80;Nelly Furtado, Timbaland;BA;NULL;2005-2009
917;Goodbye;0;Sasha;BA;pop;2005-2009
918;Heartless;80;Kanye West;BA;Kanye West;2005-2009
919;Stars of CCTV - Live at the Astoria;0;Hard-Fi;BA;NULL;2005-2009
920;Bad Romance;79;Lady Gaga;BA;pop;2005-2009
921;Tendremos que esperar;0;DELUXE;BA;spanish pop;2005-2009
922;Smack That;79;Akon, Eminem;BA;NULL;2005-2009
923;Mi rendición;0;Revolver;BA;Rock en Espanol;2005-2009
924;Poker Face;79;Lady Gaga;BA;pop;2005-2009
925;J'étais comme eux;0;Demon One;BA;NULL;2005-2009
926;Sex on Fire;79;Kings of Leon;BA;rock;2005-2009
927;Si es tan solo amor;0;Revolver;BA;blues guitar;2005-2009
928;Gimme More;78;Britney Spears;BA;pop;2005-2009
929;Tá No Meu Coração - Ao Vivo;0;Edson & Hudson;BA;NULL;2005-2009
930;Maneater;78;Nelly Furtado;BA;pop;2005-2009
931;Start Of Something New;0;Troy, Vanessa Hudgens;BA;NULL;2005-2009
932;The Way I Are;78;Timbaland, Keri Hilson, D.O.E.;BA;NULL;2005-2009
933;No va más;0;Revolver;BA;rich spanish pop;2005-2009
934;I Wonder;78;Kanye West;BA;Hip-Hop;2005-2009
935;Slowly;0;Sasha;BA;pop;2005-2009
936;How to Save a Life;78;The Fray;BA;alternative;2005-2009
937;Soulcrusher;0;Operator;BA;Grunge;2005-2009
938;Umbrella;78;Rihanna, JAY-Z;BA;NULL;2005-2009
939;Womanizer (Director's Cut);0;Britney Spears;BA;my dance room;2005-2009
940;Chasing Cars;78;Snow Patrol;BA;indie;2005-2009
941;Disco Eterno - Gira Me Verás Volver;0;Soda Stereo;BA;NULL;2005-2009
942;Don't Stop The Music;78;Rihanna;BA;dance;2005-2009
943;B.Y.O.B.;0;System Of A Down;BA;alternative metal;2005-2009
944;Empire State Of Mind;77;JAY-Z, Alicia Keys;BA;NULL;2005-2009
945;Nothing to Lose;0;Operator;BA;rock;2005-2009
946;I Gotta Feeling;77;Black Eyed Peas;BA;pop;2005-2009
947;Nossa História - Ao Vivo;0;Edson & Hudson;BA;NULL;2005-2009
948;What I've Done;77;Linkin Park;BA;rock;2005-2009
949;Até O Sol Quis Ver;0;Exaltasamba;BA;Pagode;2005-2009
950;Headlock;83;Imogen Heap;ME;electronic;2005-2009
951;Tu Vuoi Da Me Qualcosa - Live;1;Vasco Rossi;ME;NULL;2005-2009
952;Viva La Vida;82;Coldplay;ME;Coldplay;2005-2009
953;Odio;1;Revolver;ME;spanish;2005-2009
954;Feel Good Inc.;82;Gorillaz;ME;alternative;2005-2009
955;Save Me;1;Morandi, Helene;ME;NULL;2005-2009
956;505;81;Arctic Monkeys;ME;indie rock;2005-2009
957;Clapton: Tears in Heaven/video;1;The Choirboys;ME;NULL;2005-2009
958;Breakin' Dishes;81;Rihanna;ME;rnb;2005-2009
959;Historia universal (El amor no es lo que piensas);0;DELUXE;ME;indie;2005-2009
960;Fix You;81;Coldplay;ME;Coldplay;2005-2009
961;Get Around Town;0;Revolver;ME;rock;2005-2009
962;Hips Don't Lie (feat. Wyclef Jean);80;Shakira, Wyclef Jean;ME;NULL;2005-2009
963;Coming Home;0;Sasha;ME;pop;2005-2009
964;Flashing Lights;80;Kanye West, Dwele;ME;NULL;2005-2009
965;Esqueça Que Eu Te Amo - Ao Vivo;0;Edson & Hudson;ME;NULL;2005-2009
966;Promiscuous;80;Nelly Furtado, Timbaland;ME;NULL;2005-2009
967;Colillas en el sueño;0;DELUXE;ME;NULL;2005-2009
968;Heartless;80;Kanye West;ME;Kanye West;2005-2009
969;Goodbye;0;Sasha;ME;pop;2005-2009
970;Bad Romance;79;Lady Gaga;ME;pop;2005-2009
971;Stars of CCTV - Live at the Astoria;0;Hard-Fi;ME;NULL;2005-2009
972;Smack That;79;Akon, Eminem;ME;NULL;2005-2009
973;Tendremos que esperar;0;DELUXE;ME;spanish pop;2005-2009
974;Poker Face;79;Lady Gaga;ME;pop;2005-2009
975;Mi rendición;0;Revolver;ME;Rock en Espanol;2005-2009
976;Sex on Fire;79;Kings of Leon;ME;rock;2005-2009
977;J'étais comme eux;0;Demon One;ME;NULL;2005-2009
978;Gimme More;78;Britney Spears;ME;pop;2005-2009
979;Si es tan solo amor;0;Revolver;ME;blues guitar;2005-2009
980;Maneater;78;Nelly Furtado;ME;pop;2005-2009
981;Tá No Meu Coração - Ao Vivo;0;Edson & Hudson;ME;NULL;2005-2009
982;The Way I Are;78;Timbaland, Keri Hilson, D.O.E.;ME;NULL;2005-2009
983;Start Of Something New;0;Troy, Vanessa Hudgens;ME;NULL;2005-2009
984;I Wonder;78;Kanye West;ME;Hip-Hop;2005-2009
985;No va más;0;Revolver;ME;rich spanish pop;2005-2009
986;How to Save a Life;78;The Fray;ME;alternative;2005-2009
987;Slowly;0;Sasha;ME;pop;2005-2009
988;Umbrella;78;Rihanna, JAY-Z;ME;NULL;2005-2009
989;Soulcrusher;0;Operator;ME;Grunge;2005-2009
990;Chasing Cars;78;Snow Patrol;ME;indie;2005-2009
991;Womanizer (Director's Cut);0;Britney Spears;ME;my dance room;2005-2009
992;Don't Stop The Music;78;Rihanna;ME;dance;2005-2009
993;Disco Eterno - Gira Me Verás Volver;0;Soda Stereo;ME;NULL;2005-2009
994;Empire State Of Mind;77;JAY-Z, Alicia Keys;ME;NULL;2005-2009
995;B.Y.O.B.;0;System Of A Down;ME;alternative metal;2005-2009
996;I Gotta Feeling;77;Black Eyed Peas;ME;pop;2005-2009
997;Nothing to Lose;0;Operator;ME;rock;2005-2009
998;What I've Done;77;Linkin Park;ME;rock;2005-2009
999;Nossa História - Ao Vivo;0;Edson & Hudson;ME;NULL;2005-2009
1000;Headlock;83;Imogen Heap;AL;electronic;2005-2009
1001;Tu Vuoi Da Me Qualcosa - Live;1;Vasco Rossi;AL;NULL;2005-2009
1002;Viva La Vida;82;Coldplay;AL;Coldplay;2005-2009
1003;Save Me;1;Morandi, Helene;AL;NULL;2005-2009
1004;Feel Good Inc.;82;Gorillaz;AL;alternative;2005-2009
1005;Esqueça Que Eu Te Amo - Ao Vivo;0;Edson & Hudson;AL;NULL;2005-2009
1006;505;81;Arctic Monkeys;AL;indie rock;2005-2009
1007;Tá No Meu Coração - Ao Vivo;0;Edson & Hudson;AL;NULL;2005-2009
1008;Breakin' Dishes;81;Rihanna;AL;rnb;2005-2009
1009;Start Of Something New;0;Troy, Vanessa Hudgens;AL;NULL;2005-2009
1010;Fix You;81;Coldplay;AL;Coldplay;2005-2009
1011;Womanizer (Director's Cut);0;Britney Spears;AL;my dance room;2005-2009
1012;Hips Don't Lie (feat. Wyclef Jean);80;Shakira, Wyclef Jean;AL;NULL;2005-2009
1013;Disco Eterno - Gira Me Verás Volver;0;Soda Stereo;AL;NULL;2005-2009
1014;Flashing Lights;80;Kanye West, Dwele;AL;NULL;2005-2009
1015;B.Y.O.B.;0;System Of A Down;AL;alternative metal;2005-2009
1016;Promiscuous;80;Nelly Furtado, Timbaland;AL;NULL;2005-2009
1017;Nossa História - Ao Vivo;0;Edson & Hudson;AL;NULL;2005-2009
1018;Heartless;80;Kanye West;AL;Kanye West;2005-2009
1019;Até O Sol Quis Ver;0;Exaltasamba;AL;Pagode;2005-2009
1020;Bad Romance;79;Lady Gaga;AL;pop;2005-2009
1021;Dança Do Bole, Bole - Live;0;Exaltasamba;AL;NULL;2005-2009
1022;Smack That;79;Akon, Eminem;AL;NULL;2005-2009
1023;Samba Menina / Ay Cosita Linda - Ao Vivo;0;Moinho;AL;NULL;2005-2009
1024;Poker Face;79;Lady Gaga;AL;pop;2005-2009
1025;É Para Ficar - Live from Ilha de Magia, Florianópolis, Brazil/2008;0;Exaltasamba;AL;NULL;2005-2009
1026;Sex on Fire;79;Kings of Leon;AL;rock;2005-2009
1027;Por La Herida De Un Amor;0;Gilberto Santa Rosa;AL;salsa;2005-2009
1028;Gimme More;78;Britney Spears;AL;pop;2005-2009
1029;Yeah! - T4 Performance;0;USHER;AL;NULL;2005-2009
1030;Maneater;78;Nelly Furtado;AL;pop;2005-2009
1031;My Name Is;0;Eminem;AL;rap;2005-2009
1032;I Wonder;78;Kanye West;AL;Hip-Hop;2005-2009
1033;Ainda Ontem Chorei De Saudade - Live From Villa Country, São Paulo, Brazil/2007;0;Edson & Hudson;AL;NULL;2005-2009
1034;How to Save a Life;78;The Fray;AL;alternative;2005-2009
1035;Ass Like That - Super Clean Version;0;Eminem;AL;NULL;2005-2009
1036;Umbrella;78;Rihanna, JAY-Z;AL;NULL;2005-2009
1037;Bons Momentos - Ao Vivo;0;Inimigos Da HP;AL;NULL;2005-2009
1038;Chasing Cars;78;Snow Patrol;AL;indie;2005-2009
1039;A Gente Vai - Ao Vivo;0;Edson & Hudson;AL;NULL;2005-2009
1040;Don't Stop The Music;78;Rihanna;AL;dance;2005-2009
1041;How We Do;0;The Game;AL;Hip-Hop;2005-2009
1042;Empire State Of Mind;77;JAY-Z, Alicia Keys;AL;NULL;2005-2009
1043;Assovia - Ao Vivo;0;Edson & Hudson;AL;NULL;2005-2009
1044;I Gotta Feeling;77;Black Eyed Peas;AL;pop;2005-2009
1045;How Come/Git Up - (Edited Version);0;D12;AL;NULL;2005-2009
1046;What I've Done;77;Linkin Park;AL;rock;2005-2009
1047;Le Vide;0;Wir sind Helden;AL;Franzoesich fuer Anfaenger;2005-2009
1048;Breakeven;77;The Script;AL;rock;2005-2009
1049;Meu Eu em Você (Video);0;Victor & Leo;AL;NULL;2005-2009
1050;Breakin' Dishes;81;Rihanna;GR;rnb;2005-2009
1051;Save Me;1;Morandi, Helene;GR;NULL;2005-2009
1052;Ola Gia Sena;44;Nikos Oikonomopoulos;GR;NULL;2005-2009
1053;Get Around Town;0;Revolver;GR;rock;2005-2009
1054;Svise To Fegari;45;Dimitris Mitropanos;GR;NULL;2005-2009
1055;Clapton: Tears in Heaven/video;1;The Choirboys;GR;NULL;2005-2009
1056;505;81;Arctic Monkeys;GR;indie rock;2005-2009
1057;Stars of CCTV - Live at the Astoria;0;Hard-Fi;GR;NULL;2005-2009
1058;To Gramma;44;Sokratis Malamas;GR;Greek;2005-2009
1059;Baby When the Light;0;David Guetta - Steve Angello - Cozi - Joachim Garraud;GR;domicc;2005-2009
1060;Heartless;80;Kanye West;GR;Kanye West;2005-2009
1061;Tu Vuoi Da Me Qualcosa - Live;1;Vasco Rossi;GR;NULL;2005-2009
1062;Thes;44;Dimitris Mitropanos;GR;NULL;2005-2009
1063;Odio;1;Revolver;GR;spanish;2005-2009
1064;T aneipota;45;Dimitris Zervoudakis;GR;Greek;2005-2009
1065;Historia universal (El amor no es lo que piensas);0;DELUXE;GR;indie;2005-2009
1066;Erotas Archagelos;45;Dimitris Mitropanos;GR;NULL;2005-2009
1067;Coming Home;0;Sasha;GR;pop;2005-2009
1068;Vradiazei;46;Stelios Kazantzidis;GR;goat;2005-2009
1069;Esqueça Que Eu Te Amo - Ao Vivo;0;Edson & Hudson;GR;NULL;2005-2009
1070;Viva La Vida;82;Coldplay;GR;Coldplay;2005-2009
1071;Colillas en el sueño;0;DELUXE;GR;NULL;2005-2009
1072;Sti Pira;43;Anna Vissi;GR;cyprus;2005-2009
1073;Goodbye;0;Sasha;GR;pop;2005-2009
1074;Smack That;79;Akon, Eminem;GR;NULL;2005-2009
1075;Tendremos que esperar;0;DELUXE;GR;spanish pop;2005-2009
1076;Pios Ehi Logo Stin Agapi;42;Filippos Pliatsikas;GR;greek rock;2005-2009
1077;Mi rendición;0;Revolver;GR;Rock en Espanol;2005-2009
1078;Poker Face;79;Lady Gaga;GR;pop;2005-2009
1079;J'étais comme eux;0;Demon One;GR;NULL;2005-2009
1080;Pio Psila;43;Vegas, Monsieur Zeraw;GR;NULL;2005-2009
1081;Si es tan solo amor;0;Revolver;GR;blues guitar;2005-2009
1082;Don't Stop The Music;78;Rihanna;GR;dance;2005-2009
1083;Tá No Meu Coração - Ao Vivo;0;Edson & Hudson;GR;NULL;2005-2009
1084;Ola Giro Sou Girizoun;42;Sakis Rouvas;GR;Greek;2005-2009
1085;Start Of Something New;0;Troy, Vanessa Hudgens;GR;NULL;2005-2009
1086;Back To Black;77;Amy Winehouse;GR;soul;2005-2009
1087;No va más;0;Revolver;GR;rich spanish pop;2005-2009
1088;Gimme More;78;Britney Spears;GR;pop;2005-2009
1089;Slowly;0;Sasha;GR;pop;2005-2009
1090;Flashing Lights;80;Kanye West, Dwele;GR;NULL;2005-2009
1091;Soulcrusher;0;Operator;GR;Grunge;2005-2009
1092;The Way I Are;78;Timbaland, Keri Hilson, D.O.E.;GR;NULL;2005-2009
1093;Womanizer (Director's Cut);0;Britney Spears;GR;my dance room;2005-2009
1094;I Fani;41;Vasilis Kazoulis;GR;NULL;2005-2009
1095;Disco Eterno - Gira Me Verás Volver;0;Soda Stereo;GR;NULL;2005-2009
1096;Feel Good Inc.;82;Gorillaz;GR;alternative;2005-2009
1097;B.Y.O.B.;0;System Of A Down;GR;alternative metal;2005-2009
1098;Just A Lil Bit;73;50 Cent;GR;50 Cent;2005-2009
1099;Nothing to Lose;0;Operator;GR;rock;2005-2009
1100;Viva La Vida;82;Coldplay;MT;Coldplay;2005-2009
1101;Save Me;1;Morandi, Helene;MT;NULL;2005-2009
1102;Fix You;81;Coldplay;MT;Coldplay;2005-2009
1103;Tu Vuoi Da Me Qualcosa - Live;1;Vasco Rossi;MT;NULL;2005-2009
1104;Heartless;80;Kanye West;MT;Kanye West;2005-2009
1105;Odio;1;Revolver;MT;spanish;2005-2009
1106;Smack That;79;Akon, Eminem;MT;NULL;2005-2009
1107;Clapton: Tears in Heaven/video;1;The Choirboys;MT;NULL;2005-2009
1108;Chasing Cars;78;Snow Patrol;MT;indie;2005-2009
1109;Historia universal (El amor no es lo que piensas);0;DELUXE;MT;indie;2005-2009
1110;Breakin' Dishes;81;Rihanna;MT;rnb;2005-2009
1111;Get Around Town;0;Revolver;MT;rock;2005-2009
1112;Poker Face;79;Lady Gaga;MT;pop;2005-2009
1113;Coming Home;0;Sasha;MT;pop;2005-2009
1114;Sex on Fire;79;Kings of Leon;MT;rock;2005-2009
1115;Esqueça Que Eu Te Amo - Ao Vivo;0;Edson & Hudson;MT;NULL;2005-2009
1116;Promiscuous;80;Nelly Furtado, Timbaland;MT;NULL;2005-2009
1117;Colillas en el sueño;0;DELUXE;MT;NULL;2005-2009
1118;505;81;Arctic Monkeys;MT;indie rock;2005-2009
1119;Goodbye;0;Sasha;MT;pop;2005-2009
1120;The Way I Are;78;Timbaland, Keri Hilson, D.O.E.;MT;NULL;2005-2009
1121;Stars of CCTV - Live at the Astoria;0;Hard-Fi;MT;NULL;2005-2009
1122;Feel Good Inc.;82;Gorillaz;MT;alternative;2005-2009
1123;Tendremos que esperar;0;DELUXE;MT;spanish pop;2005-2009
1124;Headlock;83;Imogen Heap;MT;electronic;2005-2009
1125;Mi rendición;0;Revolver;MT;Rock en Espanol;2005-2009
1126;Umbrella;78;Rihanna, JAY-Z;MT;NULL;2005-2009
1127;J'étais comme eux;0;Demon One;MT;NULL;2005-2009
1128;Don't Stop The Music;78;Rihanna;MT;dance;2005-2009
1129;Si es tan solo amor;0;Revolver;MT;blues guitar;2005-2009
1130;Total Eclipse of the Heart;76;Bonnie Tyler;MT;80s;2005-2009
1131;Tá No Meu Coração - Ao Vivo;0;Edson & Hudson;MT;NULL;2005-2009
1132;I Gotta Feeling;77;Black Eyed Peas;MT;pop;2005-2009
1133;Start Of Something New;0;Troy, Vanessa Hudgens;MT;NULL;2005-2009
1134;Just Dance;77;Lady Gaga, Colby O'Donis;MT;NULL;2005-2009
1135;No va más;0;Revolver;MT;rich spanish pop;2005-2009
1136;Hips Don't Lie (feat. Wyclef Jean);80;Shakira, Wyclef Jean;MT;NULL;2005-2009
1137;Slowly;0;Sasha;MT;pop;2005-2009
1138;Flashing Lights;80;Kanye West, Dwele;MT;NULL;2005-2009
1139;Soulcrusher;0;Operator;MT;Grunge;2005-2009
1140;We Are The People;76;Empire Of The Sun;MT;electronic;2005-2009
1141;Womanizer (Director's Cut);0;Britney Spears;MT;my dance room;2005-2009
1142;How to Save a Life;78;The Fray;MT;alternative;2005-2009
1143;Disco Eterno - Gira Me Verás Volver;0;Soda Stereo;MT;NULL;2005-2009
1144;Bad Romance;79;Lady Gaga;MT;pop;2005-2009
1145;B.Y.O.B.;0;System Of A Down;MT;alternative metal;2005-2009
1146;Say It Right;76;Nelly Furtado;MT;pop;2005-2009
1147;Nothing to Lose;0;Operator;MT;rock;2005-2009
1148;Party In The U.S.A.;76;Miley Cyrus;MT;pop;2005-2009
1149;Nossa História - Ao Vivo;0;Edson & Hudson;MT;NULL;2005-2009
1150;Intro;67;The xx;CY;indie;2005-2009
1151;Save Me;1;Morandi, Helene;CY;NULL;2005-2009
1152;Breakin' Dishes;81;Rihanna;CY;rnb;2005-2009
1153;Tu Vuoi Da Me Qualcosa - Live;1;Vasco Rossi;CY;NULL;2005-2009
1154;505;81;Arctic Monkeys;CY;indie rock;2005-2009
1155;Odio;1;Revolver;CY;spanish;2005-2009
1156;Viva La Vida;82;Coldplay;CY;Coldplay;2005-2009
1157;Clapton: Tears in Heaven/video;1;The Choirboys;CY;NULL;2005-2009
1158;Heartless;80;Kanye West;CY;Kanye West;2005-2009
1159;Historia universal (El amor no es lo que piensas);0;DELUXE;CY;indie;2005-2009
1160;Erotas Archagelos;45;Dimitris Mitropanos;CY;NULL;2005-2009
1161;Get Around Town;0;Revolver;CY;rock;2005-2009
1162;Vradiazei;46;Stelios Kazantzidis;CY;goat;2005-2009
1163;Coming Home;0;Sasha;CY;pop;2005-2009
1164;Svise To Fegari;45;Dimitris Mitropanos;CY;NULL;2005-2009
1165;Esqueça Que Eu Te Amo - Ao Vivo;0;Edson & Hudson;CY;NULL;2005-2009
1166;Smack That;79;Akon, Eminem;CY;NULL;2005-2009
1167;Colillas en el sueño;0;DELUXE;CY;NULL;2005-2009
1168;Thes;44;Dimitris Mitropanos;CY;NULL;2005-2009
1169;Goodbye;0;Sasha;CY;pop;2005-2009
1170;Ola Gia Sena;44;Nikos Oikonomopoulos;CY;NULL;2005-2009
1171;Stars of CCTV - Live at the Astoria;0;Hard-Fi;CY;NULL;2005-2009
1172;T aneipota;45;Dimitris Zervoudakis;CY;Greek;2005-2009
1173;Tendremos que esperar;0;DELUXE;CY;spanish pop;2005-2009
1174;Headlock;83;Imogen Heap;CY;electronic;2005-2009
1175;Mi rendición;0;Revolver;CY;Rock en Espanol;2005-2009
1176;Lose Yourself;73;Eminem;CY;rap;2005-2009
1177;J'étais comme eux;0;Demon One;CY;NULL;2005-2009
1178;Poker Face;79;Lady Gaga;CY;pop;2005-2009
1179;Si es tan solo amor;0;Revolver;CY;blues guitar;2005-2009
1180;Feel Good Inc.;82;Gorillaz;CY;alternative;2005-2009
1181;Tá No Meu Coração - Ao Vivo;0;Edson & Hudson;CY;NULL;2005-2009
1182;Pios Ehi Logo Stin Agapi;42;Filippos Pliatsikas;CY;greek rock;2005-2009
1183;Start Of Something New;0;Troy, Vanessa Hudgens;CY;NULL;2005-2009
1184;Don't Stop The Music;78;Rihanna;CY;dance;2005-2009
1185;No va más;0;Revolver;CY;rich spanish pop;2005-2009
1186;Flashing Lights;80;Kanye West, Dwele;CY;NULL;2005-2009
1187;Slowly;0;Sasha;CY;pop;2005-2009
1188;Back To Black;77;Amy Winehouse;CY;soul;2005-2009
1189;Soulcrusher;0;Operator;CY;Grunge;2005-2009
1190;To Gramma;44;Sokratis Malamas;CY;Greek;2005-2009
1191;Womanizer (Director's Cut);0;Britney Spears;CY;my dance room;2005-2009
1192;Sti Pira;43;Anna Vissi;CY;cyprus;2005-2009
1193;Disco Eterno - Gira Me Verás Volver;0;Soda Stereo;CY;NULL;2005-2009
1194;The Way I Are;78;Timbaland, Keri Hilson, D.O.E.;CY;NULL;2005-2009
1195;B.Y.O.B.;0;System Of A Down;CY;alternative metal;2005-2009
1196;Hips Don't Lie (feat. Wyclef Jean);80;Shakira, Wyclef Jean;CY;NULL;2005-2009
1197;Nothing to Lose;0;Operator;CY;rock;2005-2009
1198;Promiscuous;80;Nelly Furtado, Timbaland;CY;NULL;2005-2009
1199;Nossa História - Ao Vivo;0;Edson & Hudson;CY;NULL;2005-2009
1200;Tu jardín con enanitos;69;Melendi;ES;pop;2010-2014
1201;Now Is the Time (feat. Jasmine V);0;Wally Lopez;ES;NULL;2010-2014
1202;Es un Secreto;77;Plan B;ES;Reggaeton;2010-2014
1203;Plastic Dreams 2003;2;JayDee;ES;NULL;2010-2014
1204;La promesa;65;Melendi;ES;NULL;2010-2014
1205;Smile;0;Abel The Kid, Julio Iglesias Jr.;ES;NULL;2010-2014
1206;Another Love;82;Tom Odell;ES;indie;2010-2014
1207;No hay mañanas;0;Revolver;ES;revolver88;2010-2014
1208;Just the Way You Are;78;Bruno Mars;ES;pop;2010-2014
1209;Smooth Criminal;0;Michael Jackson;ES;pop;2010-2014
1210;Lágrimas desordenadas;60;Melendi;ES;melendi;2010-2014
1211;Quiero aire;0;Revolver;ES;NULL;2010-2014
1212;A Sky Full of Stars;83;Coldplay;ES;pop;2010-2014
1213;Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;2;Modern Talking;ES;NULL;2010-2014
1214;Propuesta Indecente;75;Romeo Santos;ES;bachata;2010-2014
1215;My Love a Piece of My Love (feat. Snoop Dogg);0;Abel The Kid, Julio Iglesias Jr.;ES;NULL;2010-2014
1216;Barbie de extrarradio;60;Melendi;ES;español;2010-2014
1217;Il fait chaud;0;Patrick Sébastien;ES;fiesta;2010-2014
1218;Locked out of Heaven;85;Bruno Mars;ES;pop;2010-2014
1219;Bitch House;0;Sexplosion;ES;NULL;2010-2014
1220;Wake Me Up;82;Avicii;ES;electronic;2010-2014
1221;Losing You;0;Revolver;ES;fip;2010-2014
1222;Demons;79;Imagine Dragons;ES;rock;2010-2014
1223;Wind Song;0;Revolver;ES;indie;2010-2014
1224;Bailando por Ahi;58;Juan Magán;ES;NULL;2010-2014
1225;Iré tras de ti;0;Mr.;ES;NULL;2010-2014
1226;Give Me Everything (feat. Nayer);82;Pitbull, AFROJACK, Ne-Yo, Nayer;ES;NULL;2010-2014
1227;Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986;0;Modern Talking;ES;NULL;2010-2014
1228;Limbo;71;Daddy Yankee;ES;Reggaeton;2010-2014
1229;You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985;0;Modern Talking;ES;NULL;2010-2014
1230;La Mujer de Verde;57;IZAL;ES;NULL;2010-2014
1231;Wild Out Anthem (feat. Jay Colin);0;Wally Lopez;ES;NULL;2010-2014
1232;When I Was Your Man;83;Bruno Mars;ES;pop;2010-2014
1233;Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986;0;Modern Talking;ES;NULL;2010-2014
1234;Cheque al portamor;62;Melendi;ES;NULL;2010-2014
1235;Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985;0;Modern Talking;ES;NULL;2010-2014
1236;Estoy Hecho De Pedacitos De Ti;56;Antonio Orozco;ES;Flamenco;2010-2014
1237;Ballada o Janku Wisniewskim;1;Kazik;ES;rock;2010-2014
1238;All of Me;81;John Legend;ES;rnb;2010-2014
1239;Invisibili;0;Ape Escape;ES;NULL;2010-2014
1240;Titanium (feat. Sia);77;David Guetta, Sia;ES;NULL;2010-2014
